date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:43	33844/33844	U-----	200	untouched ('')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:02:10%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8ba2090db-45.jpg	E:/rk/www.alliancelaptoptraining.com.np/img/media/5acc8ba2090db-45.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:59:44	43709/43709	U-----	200	untouched ('')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:41%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b8539b6a-41.jpg	E:/rk/www.alliancelaptoptraining.com.np/img/media/5acc8b8539b6a-41.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:59:59	52382/52382	U-----	200	untouched ('')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:32%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b7c8f59d-40.jpg	E:/rk/www.alliancelaptoptraining.com.np/img/media/5acc8b7c8f59d-40.jpg	(from https://www.alliancelaptoptraining.com.np/)
22:00:00	1379/1379	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/gotop.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/gotop.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:00	267193/267193	U-----	200	untouched ('')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/firstLoad.jpg	E:/rk/www.alliancelaptoptraining.com.np/front/img/firstLoad.jpg	(from https://www.alliancelaptoptraining.com.np/)
22:00:03	84245/84245	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/jquery-2.1.1.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/jquery-2.1.1.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:15	57796/57796	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/navbar.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/navbar.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:17	732/732	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/gallery.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/gallery.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:20	37045/37045	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/kitenepal.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/kitenepal.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:32	14244/14244	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/aos.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/aos.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:33	81/81	U-----	200	untouched ('')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/notice.js	E:/rk/www.alliancelaptoptraining.com.np/front/js/notice.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:36	8015/8015	U-----	200	untouched ('')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/background.jpg	E:/rk/www.alliancelaptoptraining.com.np/front/img/background.jpg	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
22:00:38	2541/2541	U-----	200	untouched ('')	image/png	etag:%22vfa%22	https://3.bp.blogspot.com/-GZOBULN1Q4s/VbNxQrf37EI/AAAAAAAAAPk/rak337seJ70/s1600/Ask.png	E:/rk/3.bp.blogspot.com/-GZOBULN1Q4s/VbNxQrf37EI/AAAAAAAAAPk/rak337seJ70/s1600/Ask.png	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
22:00:42	34262/34262	U--MC-	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:16:32%20GMT	https://www.alliancelaptoptraining.com.np/course/index.html	E:/rk/www.alliancelaptoptraining.com.np/course/index.html	(from https://www.alliancelaptoptraining.com.np/course/1)
22:00:57	116327/116327	U-----	200	untouched ('')	image/jpeg	date:Fri,%2011%20Sep%202015%2019:30:13%20GMT	https://tctechcrunch2011.files.wordpress.com/2015/09/shutterstock_286900829.jpg	E:/rk/tctechcrunch2011.files.wordpress.com/2015/09/shutterstock_286900829.jpg	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
22:00:58	41989/41989	U-----	200	untouched ('')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:01%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b5d47f38-39.jpg	E:/rk/www.alliancelaptoptraining.com.np/img/media/5acc8b5d47f38-39.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
22:00:58	8722/8722	U-----	200	untouched ('')	application/javascript	etag:W/%225afd4853-2212%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.8.1/baguetteBox.min.js	E:/rk/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.8.1/baguetteBox.min.js	(from https://www.alliancelaptoptraining.com.np/)
22:00:58	975825/975825	U-----	200	untouched ('')	image/jpeg	etag:%2213a6d1512787fd40%22	https://i0.wp.com/www.tech-coffee.net/wp-content/uploads/2017/01/cpu-images.jpg?fit=2560%2C1600&ssl=1	E:/rk/i0.wp.com/www.tech-coffee.net/wp-content/uploads/2017/01/cpu-imagesf36b.jpg	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
22:01:12	41518/41518	U-----	200	untouched ('')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:53%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b55ac95f-38.jpg	E:/rk/www.alliancelaptoptraining.com.np/img/media/5acc8b55ac95f-38.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
